event_id,participant_id,rank,medal,score_raw,points_awarded
world_aquatics_championships_2001_men_swimming-400-m-freestyle,athlete_Grant_Hackett_AUS,2,silver,discipline=swimming-400-m-freestyle;source_discipline=swimming;source_event=Men's 400 m freestyle;performance=3:42.51;country=AUS,2.0
world_aquatics_championships_2001_men_swimming-400-m-freestyle,athlete_Ian_Thorpe_AUS,1,gold,discipline=swimming-400-m-freestyle;source_discipline=swimming;source_event=Men's 400 m freestyle;performance=3:40.17 WR;country=AUS,3.0
world_aquatics_championships_2001_men_swimming-400-m-individual-medley,athlete_Alessio_Boggiatto_ITA,1,gold,discipline=swimming-400-m-individual-medley;source_discipline=swimming;source_event=Men's 400 m I.M.;performance=4:13.15;country=ITA,3.0
world_aquatics_championships_2001_men_swimming-400-m-individual-medley,athlete_Erik_Vendt_USA,2,silver,discipline=swimming-400-m-individual-medley;source_discipline=swimming;source_event=Men's 400 m I.M.;performance=4:15.36;country=USA,2.0
world_aquatics_championships_2001_men_swimming-400-m-individual-medley,athlete_Tom_Wilkens_USA,3,bronze,discipline=swimming-400-m-individual-medley;source_discipline=swimming;source_event=Men's 400 m I.M.;performance=4:15.94;country=USA,1.0
world_aquatics_championships_2001_men_swimming-50-m-backstroke,athlete_Matt_Welsh_AUS,3,bronze,discipline=swimming-50-m-backstroke;source_discipline=swimming;source_event=Men's 50 m backstroke;performance=25.49;country=AUS,1.0
world_aquatics_championships_2001_men_swimming-50-m-backstroke,athlete_Randall_Bal_USA,1,gold,discipline=swimming-50-m-backstroke;source_discipline=swimming;source_event=Men's 50 m backstroke;performance=25.34;country=USA,3.0
world_aquatics_championships_2001_men_swimming-50-m-backstroke,athlete_Thomas_Rupprath_GER,2,silver,discipline=swimming-50-m-backstroke;source_discipline=swimming;source_event=Men's 50 m backstroke;performance=25.44;country=GER,2.0
world_aquatics_championships_2001_men_swimming-50-m-breaststroke,athlete_Domenico_Fioravanti_ITA,3,bronze,discipline=swimming-50-m-breaststroke;source_discipline=swimming;source_event=Men's 50 m breaststroke;performance=27.72;country=ITA,1.0
world_aquatics_championships_2001_men_swimming-50-m-breaststroke,athlete_Oleg_Lisogor_UKR,1,gold,discipline=swimming-50-m-breaststroke;source_discipline=swimming;source_event=Men's 50 m breaststroke;performance=27.52 CR;country=UKR,3.0
world_aquatics_championships_2001_men_swimming-50-m-breaststroke,athlete_Roman_Sloudnov_RUS,2,silver,discipline=swimming-50-m-breaststroke;source_discipline=swimming;source_event=Men's 50 m breaststroke;performance=27.60;country=RUS,2.0
world_aquatics_championships_2001_men_swimming-50-m-butterfly,athlete_Geoff_Huegill_AUS,1,gold,discipline=swimming-50-m-butterfly;source_discipline=swimming;source_event=Men's 50 m butterfly;performance=23.50;country=AUS,3.0
world_aquatics_championships_2001_men_swimming-50-m-butterfly,athlete_Lars_Frölander_SWE,2,silver,discipline=swimming-50-m-butterfly;source_discipline=swimming;source_event=Men's 50 m butterfly;performance=23.57;country=SWE,2.0
world_aquatics_championships_2001_men_swimming-50-m-butterfly,athlete_Mark_Foster_GBR,3,bronze,discipline=swimming-50-m-butterfly;source_discipline=swimming;source_event=Men's 50 m butterfly;performance=23.62;country=GBR,1.0
world_aquatics_championships_2001_men_swimming-50-m-freestyle,athlete_Anthony_Ervin_USA,1,gold,discipline=swimming-50-m-freestyle;source_discipline=swimming;source_event=Men's 50 m freestyle;performance=22.09;country=USA,3.0
world_aquatics_championships_2001_men_swimming-50-m-freestyle,athlete_Pieter_van_den_Hoogenband_NED,2,silver,discipline=swimming-50-m-freestyle;source_discipline=swimming;source_event=Men's 50 m freestyle;performance=22.16;country=NED,2.0
world_aquatics_championships_2001_men_swimming-50-m-freestyle,athlete_Roland_Schoeman_RSA,3,bronze,discipline=swimming-50-m-freestyle;source_discipline=swimming;source_event=Men's 50 m freestyle;performance=22.18;country=RSA,1.0
world_aquatics_championships_2001_men_swimming-50-m-freestyle,athlete_Tomohiro_Yamanoi_JPN,3,bronze,discipline=swimming-50-m-freestyle;source_discipline=swimming;source_event=Men's 50 m freestyle;performance=22.18;country=JPN,1.0
world_aquatics_championships_2001_men_swimming-800-m-freestyle,athlete_Graeme_Smith_GBR,3,bronze,discipline=swimming-800-m-freestyle;source_discipline=swimming;source_event=Men's 800 m freestyle;performance=7:51.12;country=GBR,1.0
world_aquatics_championships_2001_men_swimming-800-m-freestyle,athlete_Grant_Hackett_AUS,2,silver,discipline=swimming-800-m-freestyle;source_discipline=swimming;source_event=Men's 800 m freestyle;performance=7:40.34;country=AUS,2.0
world_aquatics_championships_2001_men_swimming-800-m-freestyle,athlete_Ian_Thorpe_AUS,1,gold,discipline=swimming-800-m-freestyle;source_discipline=swimming;source_event=Men's 800 m freestyle;performance=7:39.16 WR;country=AUS,3.0
world_aquatics_championships_2001_men_water-polo-tournament,ESP,1,gold,discipline=water-polo-tournament;source_discipline=water polo;source_event=Men;performance=;country=ESP,3.0
world_aquatics_championships_2001_women_artistic-swimming-duet-routine,CAN,3,bronze,discipline=artistic-swimming-duet-routine;source_discipline=artistic swimming;source_event=Women's Duet routine;performance=;country=CAN,1.0
world_aquatics_championships_2001_women_artistic-swimming-duet-routine,JPN,1,gold,discipline=artistic-swimming-duet-routine;source_discipline=artistic swimming;source_event=Women's Duet routine;performance=;country=JPN,3.0
world_aquatics_championships_2001_women_artistic-swimming-duet-routine,RUS,2,silver,discipline=artistic-swimming-duet-routine;source_discipline=artistic swimming;source_event=Women's Duet routine;performance=;country=RUS,2.0
world_aquatics_championships_2001_women_artistic-swimming-solo-routine,athlete_Miya_Tachibana_JPN,3,bronze,discipline=artistic-swimming-solo-routine;source_discipline=artistic swimming;source_event=Women's Solo routine;performance=;country=JPN,1.0
world_aquatics_championships_2001_women_artistic-swimming-solo-routine,athlete_Olga_Brusnikina_RUS,1,gold,discipline=artistic-swimming-solo-routine;source_discipline=artistic swimming;source_event=Women's Solo routine;performance=;country=RUS,3.0
world_aquatics_championships_2001_women_artistic-swimming-solo-routine,athlete_Virginie_Dedieu_FRA,2,silver,discipline=artistic-swimming-solo-routine;source_discipline=artistic swimming;source_event=Women's Solo routine;performance=;country=FRA,2.0
world_aquatics_championships_2001_women_artistic-swimming-team-routine,CAN,3,bronze,discipline=artistic-swimming-team-routine;source_discipline=artistic swimming;source_event=Women's Team routine;performance=;country=CAN,1.0
world_aquatics_championships_2001_women_artistic-swimming-team-routine,JPN,2,silver,discipline=artistic-swimming-team-routine;source_discipline=artistic swimming;source_event=Women's Team routine;performance=;country=JPN,2.0
world_aquatics_championships_2001_women_artistic-swimming-team-routine,RUS,1,gold,discipline=artistic-swimming-team-routine;source_discipline=artistic swimming;source_event=Women's Team routine;performance=;country=RUS,3.0
world_aquatics_championships_2001_women_diving-1-m-springboard,athlete_Blythe_Hartley_CAN,1,gold,discipline=diving-1-m-springboard;source_discipline=diving;source_event=Women's 1 m springboard;performance=;country=CAN,3.0
world_aquatics_championships_2001_women_diving-1-m-springboard,athlete_Wu_Minxia_CHN,2,silver,discipline=diving-1-m-springboard;source_discipline=diving;source_event=Women's 1 m springboard;performance=;country=CHN,2.0
