competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_key,event_name,gender,event_label,rank,medal,participant_type,participant_name,country_name,country_code,source_text,source_url
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kata,World Karate Championships Women Team kata,women,Team kata,1,gold,team,France Women Team kata,France,FRA,France Jessica Buil Sabrina Buil Laëtitia Guesnel,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kata,World Karate Championships Women Team kata,women,Team kata,2,silver,team,Japan Women Team kata,Japan,JPN,Japan,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kata,World Karate Championships Women Team kata,women,Team kata,3,bronze,team,Spain Women Team kata,Spain,ESP,Spain Miriam Cogolludo Ruth Jiménez Almudena Muñoz,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kata,World Karate Championships Women Team kata,women,Team kata,3,bronze,team,Italy Women Team kata,Italy,ITA,Italy Luisa Arrabito Alessia Gasperini Annalisa Penolazzi,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kumite,World Karate Championships Women Team kumite,women,Team kumite,1,gold,team,Spain Women Team kumite,Spain,ESP,Spain Gloria Casanova Cristina Feo Noelia Fernández Estefanía García,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kumite,World Karate Championships Women Team kumite,women,Team kumite,2,silver,team,France Women Team kumite,France,FRA,France Patricia Chéreau Laurence Fischer Nathalie Leroy Nadia Mecheri,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kumite,World Karate Championships Women Team kumite,women,Team kumite,3,bronze,team,England Women Team kumite,England,ENG,England,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2002,2002-12-31,karate,Karate,team-kumite,World Karate Championships Women Team kumite,women,Team kumite,3,bronze,team,Türkiye Women Team kumite,Türkiye,TUR,Turkey Yıldız Aras Gülderen Çelik Meral Ölmez,https://en.wikipedia.org/wiki/2002_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kata,World Karate Championships Men Individual kata,men,Individual kata,1,gold,athlete,Luca Valdesi,Italy,ITA,Luca Valdesi Italy,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kata,World Karate Championships Men Individual kata,men,Individual kata,2,silver,athlete,Akio Tamashiro,Peru,PER,Akio Tamashiro Peru,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kata,World Karate Championships Men Individual kata,men,Individual kata,3,bronze,athlete,Toshihide Uchiage,Canada,CAN,Toshihide Uchiage Canada,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kata,World Karate Championships Men Individual kata,men,Individual kata,3,bronze,athlete,Antonio Díaz,Venezuela,VEN,Antonio Díaz Venezuela,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-60-kg,World Karate Championships Men Kumite −60 kg,men,Kumite −60 kg,1,gold,athlete,Paul Newby,England,ENG,Paul Newby England,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-60-kg,World Karate Championships Men Kumite −60 kg,men,Kumite −60 kg,2,silver,athlete,Hossein Rouhani,Iran,IRI,Hossein Rouhani Iran,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-60-kg,World Karate Championships Men Kumite −60 kg,men,Kumite −60 kg,3,bronze,athlete,David Luque,Spain,ESP,David Luque Spain,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-60-kg,World Karate Championships Men Kumite −60 kg,men,Kumite −60 kg,3,bronze,athlete,Yury Kalashnikov,Russia,RUS,Yury Kalashnikov Russia,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-65-kg,World Karate Championships Men Kumite −65 kg,men,Kumite −65 kg,1,gold,athlete,Luis Plumacher,Venezuela,VEN,Luis Plumacher Venezuela,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-65-kg,World Karate Championships Men Kumite −65 kg,men,Kumite −65 kg,2,silver,athlete,Ádám Kovács,Hungary,HUN,Ádám Kovács Hungary,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-65-kg,World Karate Championships Men Kumite −65 kg,men,Kumite −65 kg,3,bronze,athlete,Lucio Martínez,Argentina,ARG,Lucio Martínez Argentina,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-65-kg,World Karate Championships Men Kumite −65 kg,men,Kumite −65 kg,3,bronze,athlete,Alexandre Biamonti,France,FRA,Alexandre Biamonti France,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-70-kg,World Karate Championships Men Kumite −70 kg,men,Kumite −70 kg,1,gold,athlete,Shinji Nagaki,Japan,JPN,Shinji Nagaki Japan,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-70-kg,World Karate Championships Men Kumite −70 kg,men,Kumite −70 kg,2,silver,athlete,Mensur Cakić,Bosnia and Herzegovina,BIH,Mensur Cakić Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-70-kg,World Karate Championships Men Kumite −70 kg,men,Kumite −70 kg,3,bronze,athlete,Óscar Vázquez,Spain,ESP,Óscar Vázquez Spain,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-70-kg,World Karate Championships Men Kumite −70 kg,men,Kumite −70 kg,3,bronze,athlete,Sayguidmagomed Shakhrudinov,Russia,RUS,Sayguidmagomed Shakhrudinov Russia,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-75-kg,World Karate Championships Men Kumite −75 kg,men,Kumite −75 kg,1,gold,athlete,David Santana,Spain,ESP,David Santana Spain,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-75-kg,World Karate Championships Men Kumite −75 kg,men,Kumite −75 kg,2,silver,athlete,Konstantinos Papadopoulos,Greece,GRC,Konstantinos Papadopoulos Greece,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-75-kg,World Karate Championships Men Kumite −75 kg,men,Kumite −75 kg,3,bronze,athlete,Klaudio Farmadín,Slovakia,SVK,Klaudio Farmadín Slovakia,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-75-kg,World Karate Championships Men Kumite −75 kg,men,Kumite −75 kg,3,bronze,athlete,Yavuz Karamollaoğlu,Türkiye,TUR,Yavuz Karamollaoğlu Turkey,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
world_karate_championships,World Karate Championships,2004,2004-12-31,karate,Karate,kumite-80-kg,World Karate Championships Men Kumite −80 kg,men,Kumite −80 kg,1,gold,athlete,Zeynel Çelik,Türkiye,TUR,Zeynel Çelik Turkey,https://en.wikipedia.org/wiki/2004_World_Karate_Championships
