event_id,participant_id,rank,medal,score_raw,points_awarded
world_athletics_championships_2001_women_marathon,athlete_Lidia_imon_ROU,1,gold,discipline=Marathon;performance=2:26:01;country=ROU,3.0
world_athletics_championships_2001_women_marathon,athlete_Reiko_Tosa_JPN,2,silver,discipline=Marathon;performance=2:26:06;country=JPN,2.0
world_athletics_championships_2001_women_pole-vault,athlete_Monika_Pyrek_POL,3,bronze,discipline=Pole vault;performance=4.55;country=POL,1.0
world_athletics_championships_2001_women_pole-vault,athlete_Stacy_Dragila_USA,1,gold,discipline=Pole vault;performance=4.75 ( CR );country=USA,3.0
world_athletics_championships_2001_women_shot-put,athlete_Nadine_Kleinert_DEU,2,silver,discipline=Shot put;performance=19.86 (PB);country=DEU,2.0
world_athletics_championships_2001_women_shot-put,athlete_Vita_Pavlysh_UKR,3,bronze,discipline=Shot put;performance=19.41;country=UKR,1.0
world_athletics_championships_2001_women_shot-put,athlete_Yanina_Karolchik_BLR,1,gold,discipline=Shot put;performance=20.61 (NR);country=BLR,3.0
world_athletics_championships_2001_women_triple-jump,athlete_Françoise_Mbango-Etone_CMR,2,silver,discipline=Triple jump;performance=14.60;country=CMR,2.0
world_athletics_championships_2001_women_triple-jump,athlete_Tereza_Marinova_BGR,3,bronze,discipline=Triple jump;performance=14.58;country=BGR,1.0
world_athletics_championships_2003_men_10-000-m,athlete_Haile_Gebrselassie_ETH,2,silver,"discipline=10,000 m;performance=26:50.77 (SB);country=ETH",2.0
world_athletics_championships_2003_men_10-000-m,athlete_Kenenisa_Bekele_ETH,1,gold,"discipline=10,000 m;performance=26:49.57 (CR);country=ETH",3.0
world_athletics_championships_2003_men_10-000-m,athlete_Sileshi_Sihine_ETH,3,bronze,"discipline=10,000 m;performance=27:01.44;country=ETH",1.0
world_athletics_championships_2003_men_100-m,athlete_Darrel_Brown_TTO,2,silver,discipline=100 m;performance=10.08;country=TTO,2.0
world_athletics_championships_2003_men_100-m,athlete_Darren_Campbell_GBR,3,bronze,discipline=100 m;performance=10.08 (SB);country=GBR,1.0
world_athletics_championships_2003_men_100-m,athlete_Kim_Collins_KNA,1,gold,discipline=100 m;performance=10.07;country=KNA,3.0
world_athletics_championships_2003_men_110-m-hurdles,athlete_Allen_Johnson_USA,1,gold,discipline=110 m hurdles;performance=13.12;country=USA,3.0
world_athletics_championships_2003_men_110-m-hurdles,athlete_Liu_Xiang_CHN,3,bronze,discipline=110 m hurdles;performance=13.23;country=CHN,1.0
world_athletics_championships_2003_men_110-m-hurdles,athlete_Terrence_Trammell_USA,2,silver,discipline=110 m hurdles;performance=13.20 (SB);country=USA,2.0
world_athletics_championships_2003_men_1500-m,athlete_Hicham_El_Guerrouj_MAR,1,gold,discipline=1500 m;performance=3:31.77;country=MAR,3.0
