year,event_date,gender,discipline_name,rank,medal,participant_type,athlete_name,country_name,country_code,performance
2001,2001-12-31,women,100 m hurdles,3,bronze,athlete,Olga Shishigina,Kazakhstan,KAZ,12.58 (SB)
2001,2001-12-31,women,1500 m,1,gold,athlete,Gabriela Szabo,Romania,ROU,4:00.57 (SB)
2001,2001-12-31,women,1500 m,2,silver,athlete,Violeta Szekely,Romania,ROU,4:01.70
2001,2001-12-31,women,20 km walk,2,silver,athlete,Valentina Tsybulskaya,Belarus,BLR,1:28:49 (PB)
2001,2001-12-31,women,20 km walk,3,bronze,athlete,Elisabetta Perrone,Italy,ITA,1:28:56
2001,2001-12-31,women,200 m,1,gold,athlete,Debbie Ferguson,Bahamas,BHS,22.52 1
2001,2001-12-31,women,200 m,2,silver,athlete,LaTasha Jenkins,United States,USA,22.85
2001,2001-12-31,women,200 m,3,bronze,athlete,Cydonie Mothersille,Cayman Islands,CYM,22.88 2
2001,2001-12-31,women,4 × 100 m relay,1,gold,team,,Germany,DEU,42.32 3 (SB)
2001,2001-12-31,women,4 × 100 m relay,2,silver,team,,France,FRA,42.39 (SB)
2001,2001-12-31,women,4 × 100 m relay,3,bronze,team,,Jamaica,JAM,42.40 (SB)
2001,2001-12-31,women,4 × 400 m relay,1,gold,team,,Jamaica,JAM,3:20.65 (WL)
2001,2001-12-31,women,4 × 400 m relay,2,silver,team,,Germany,DEU,3:21.97 (SB)
2001,2001-12-31,women,400 m,1,gold,athlete,Amy Mbacké Thiam,Senegal,SEN,49.86 (NR)
2001,2001-12-31,women,400 m,2,silver,athlete,Lorraine Fenton,Jamaica,JAM,49.88 (SB)
2001,2001-12-31,women,400 m,3,bronze,athlete,Ana Guevara,Mexico,MEX,49.97 SB
2001,2001-12-31,women,400 m hurdles,1,gold,athlete,Nezha Bidouane,Morocco,MAR,53.34 (WL)
2001,2001-12-31,women,400 m hurdles,3,bronze,athlete,Daimí Pernía,Cuba,CUB,54.51
2001,2001-12-31,women,5000 m,2,silver,athlete,Marta Domínguez,Spain,ESP,15:06.59
2001,2001-12-31,women,5000 m,3,bronze,athlete,Ayelech Worku,Ethiopia,ETH,15:10.17
2001,2001-12-31,women,800 m,1,gold,athlete,Maria Mutola,Mozambique,MOZ,1:57.17
2001,2001-12-31,women,800 m,2,silver,athlete,Stephanie Graf,Austria,AUT,1:57.20 (SB)
2001,2001-12-31,women,800 m,3,bronze,athlete,Letitia Vriesde,Suriname,SUR,1:57.35 (SB)
2001,2001-12-31,women,Discus throw,1,gold,athlete,Ellina Zvereva,Belarus,BLR,67.10 1
2001,2001-12-31,women,Discus throw,2,silver,athlete,Nicoleta Grasu,Romania,ROU,66.24
2001,2001-12-31,women,Discus throw,3,bronze,athlete,Anastasia Kelesidou,Greece,GRC,65.50 (SB)
2001,2001-12-31,women,Hammer throw,1,gold,athlete,Yipsi Moreno,Cuba,CUB,70.65 (AR)
2001,2001-12-31,women,Hammer throw,3,bronze,athlete,Bronwyn Eagles,Australia,AUS,68.87
2001,2001-12-31,women,Heptathlon,2,silver,athlete,Natallia Sazanovich,Belarus,BLR,6539 (SB)
2001,2001-12-31,women,Heptathlon,3,bronze,athlete,Shelia Burrell,United States,USA,6472 (PB)
2001,2001-12-31,women,High jump,1,gold,athlete,Hestrie Cloete,South Africa,ZAF,2.00 (SB)
2001,2001-12-31,women,High jump,2,silver,athlete,Inha Babakova,Ukraine,UKR,2.00
2001,2001-12-31,women,High jump,3,bronze,athlete,Kajsa Bergqvist,Sweden,SWE,1.97
2001,2001-12-31,women,Javelin throw,1,gold,athlete,Osleidys Menéndez,Cuba,CUB,69.53 ( CR )
2001,2001-12-31,women,Javelin throw,2,silver,athlete,Mirela Maniani,Greece,GRC,65.78
2001,2001-12-31,women,Javelin throw,3,bronze,athlete,Sonia Bisset,Cuba,CUB,64.69
2001,2001-12-31,women,Long jump,1,gold,athlete,Fiona May,Italy,ITA,7.02
2001,2001-12-31,women,Long jump,3,bronze,athlete,Niurka Montalvo,Spain,ESP,6.88
2001,2001-12-31,women,Marathon,1,gold,athlete,Lidia Șimon,Romania,ROU,2:26:01
2001,2001-12-31,women,Marathon,2,silver,athlete,Reiko Tosa,Japan,JPN,2:26:06
2001,2001-12-31,women,Pole vault,1,gold,athlete,Stacy Dragila,United States,USA,4.75 ( CR )
2001,2001-12-31,women,Pole vault,3,bronze,athlete,Monika Pyrek,Poland,POL,4.55
2001,2001-12-31,women,Shot put,1,gold,athlete,Yanina Karolchik,Belarus,BLR,20.61 (NR)
2001,2001-12-31,women,Shot put,2,silver,athlete,Nadine Kleinert,Germany,DEU,19.86 (PB)
2001,2001-12-31,women,Shot put,3,bronze,athlete,Vita Pavlysh,Ukraine,UKR,19.41
2001,2001-12-31,women,Triple jump,2,silver,athlete,Françoise Mbango-Etone,Cameroon,CMR,14.60
2001,2001-12-31,women,Triple jump,3,bronze,athlete,Tereza Marinova,Bulgaria,BGR,14.58
2003,2003-12-31,men,"10,000 m",1,gold,athlete,Kenenisa Bekele,Ethiopia,ETH,26:49.57 (CR)
2003,2003-12-31,men,"10,000 m",2,silver,athlete,Haile Gebrselassie,Ethiopia,ETH,26:50.77 (SB)
2003,2003-12-31,men,"10,000 m",3,bronze,athlete,Sileshi Sihine,Ethiopia,ETH,27:01.44
2003,2003-12-31,men,100 m,1,gold,athlete,Kim Collins,Saint Kitts and Nevis,KNA,10.07
2003,2003-12-31,men,100 m,2,silver,athlete,Darrel Brown,Trinidad and Tobago,TTO,10.08
2003,2003-12-31,men,100 m,3,bronze,athlete,Darren Campbell,Great Britain,GBR,10.08 (SB)
2003,2003-12-31,men,110 m hurdles,1,gold,athlete,Allen Johnson,United States,USA,13.12
2003,2003-12-31,men,110 m hurdles,2,silver,athlete,Terrence Trammell,United States,USA,13.20 (SB)
