year,event_date,gender,discipline_name,event_name,rank,medal,participant_type,athlete_name,country_name,country_code,performance,source_url
2001,2001-01-01,men,swimming,Men's 1500 m freestyle,1,gold,athlete,Grant Hackett,Australia,AUS,14:34.56 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 1500 m freestyle,2,silver,athlete,Graeme Smith,United Kingdom,GBR,14:58.94 NR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 1500 m freestyle,3,bronze,athlete,Alexei Filipets,Russian Federation,RUS,15:01.43,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m I.M.,1,gold,athlete,Massimiliano Rosolino,Italy,ITA,1:59.71,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m I.M.,2,silver,athlete,Tom Wilkens,United States,USA,2:00.73,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m I.M.,3,bronze,athlete,Justin Norris,Australia,AUS,2:00.91,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m backstroke,1,gold,athlete,Aaron Peirsol,United States,USA,1:57.13 CR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m backstroke,2,silver,athlete,Markus Rogan,Austria,AUT,1:58.07,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m backstroke,3,bronze,athlete,Örn Arnarson,Iceland,ISL,1:58.37,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m breaststroke,1,gold,athlete,Brendan Hansen,United States,USA,2:10.69 CR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m breaststroke,2,silver,athlete,Maxim Podoprigora,Austria,AUT,2:11.09,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m breaststroke,3,bronze,athlete,Kosuke Kitajima,Japan,JPN,2:11.21 AS,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m butterfly,1,gold,athlete,Michael Phelps,United States,USA,1:54.58 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m butterfly,2,silver,athlete,Tom Malchow,United States,USA,1:55.28,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m butterfly,3,bronze,athlete,Anatoly Polyakov,Russian Federation,RUS,1:55.68,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m freestyle,1,gold,athlete,Ian Thorpe,Australia,AUS,1:44.06 WR,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m freestyle,2,silver,athlete,Pieter van den Hoogenband,NED,NED,1:45.81,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,swimming,Men's 200 m freestyle,3,bronze,athlete,Klete Keller,United States,USA,1:47.10,https://en.wikipedia.org/wiki/Swimming_at_the_2001_World_Aquatics_Championships
