competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-plus-100-kg,Judo Men +100 kg,Heavyweight (+100 kg),men,2,silver,athlete,David Moura,Brazil,BRA,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-plus-100-kg,Judo Men +100 kg,Heavyweight (+100 kg),men,3,bronze,athlete,Naidangiin Tüvshinbayar,Mongolia,MNG,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-men-plus-100-kg,Judo Men +100 kg,Heavyweight (+100 kg),men,3,bronze,athlete,Rafael Silva,Brazil,BRA,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-48-kg,Judo Women -48 kg,Extra-lightweight (-48 kg),women,1,gold,athlete,Funa Tonaki,Japan,JPN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-48-kg,Judo Women -48 kg,Extra-lightweight (-48 kg),women,2,silver,athlete,Mönkhbatyn Urantsetseg,Mongolia,MNG,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-48-kg,Judo Women -48 kg,Extra-lightweight (-48 kg),women,3,bronze,athlete,Ami Kondo,Japan,JPN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-48-kg,Judo Women -48 kg,Extra-lightweight (-48 kg),women,3,bronze,athlete,Galbadrakhyn Otgontsetseg,Kazakhstan,KAZ,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-52-kg,Judo Women -52 kg,Half-lightweight (-52 kg),women,1,gold,athlete,Ai Shishime,Japan,JPN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-52-kg,Judo Women -52 kg,Half-lightweight (-52 kg),women,2,silver,athlete,Natsumi Tsunoda,Japan,JPN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-52-kg,Judo Women -52 kg,Half-lightweight (-52 kg),women,3,bronze,athlete,Natalia Kuziutina,Russian Federation,RUS,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-52-kg,Judo Women -52 kg,Half-lightweight (-52 kg),women,3,bronze,athlete,Érika Miranda,Brazil,BRA,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-57-kg,Judo Women -57 kg,Lightweight (-57 kg),women,1,gold,athlete,Sumiya Dorjsuren,Mongolia,MNG,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-57-kg,Judo Women -57 kg,Lightweight (-57 kg),women,2,silver,athlete,Tsukasa Yoshida,Japan,JPN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-57-kg,Judo Women -57 kg,Lightweight (-57 kg),women,3,bronze,athlete,Hélène Receveaux,France,FRA,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-57-kg,Judo Women -57 kg,Lightweight (-57 kg),women,3,bronze,athlete,Nekoda Smythe-Davis Great Britain,United Kingdom,GBR,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-63-kg,Judo Women -63 kg,Half-middleweight (-63 kg),women,1,gold,athlete,Clarisse Agbegnenou,France,FRA,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-63-kg,Judo Women -63 kg,Half-middleweight (-63 kg),women,2,silver,athlete,Tina Trstenjak,Slovenia,SVN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-63-kg,Judo Women -63 kg,Half-middleweight (-63 kg),women,3,bronze,athlete,Agata Ozdoba-Błach,Poland,POL,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-63-kg,Judo Women -63 kg,Half-middleweight (-63 kg),women,3,bronze,athlete,Baldorjyn Möngönchimeg,Mongolia,MNG,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-70-kg,Judo Women -70 kg,Middleweight (-70 kg),women,1,gold,athlete,Chizuru Arai,Japan,JPN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-70-kg,Judo Women -70 kg,Middleweight (-70 kg),women,2,silver,athlete,María Pérez,Puerto Rico,PRI,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-70-kg,Judo Women -70 kg,Middleweight (-70 kg),women,3,bronze,athlete,María Bernabéu,Spain,ESP,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-70-kg,Judo Women -70 kg,Middleweight (-70 kg),women,3,bronze,athlete,Yuri Alvear,Colombia,COL,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-78-kg,Judo Women -78 kg,Half-heavyweight (-78 kg),women,1,gold,athlete,Mayra Aguiar,Brazil,BRA,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-78-kg,Judo Women -78 kg,Half-heavyweight (-78 kg),women,2,silver,athlete,Mami Umeki,Japan,JPN,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-78-kg,Judo Women -78 kg,Half-heavyweight (-78 kg),women,3,bronze,athlete,Kaliema Antomarchi,Cuba,CUB,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
world_judo_championships,World Judo Championships,2017,2017-12-31,judo-women-minus-78-kg,Judo Women -78 kg,Half-heavyweight (-78 kg),women,3,bronze,athlete,Natalie Powell Great Britain,United Kingdom,GBR,https://en.wikipedia.org/wiki/2017_World_Judo_Championships
